AlarmSequence,Frequency
ASMON10021XH01,282
BSMON10034XH06,213
ASMON10005XH03,177
AlarmRateRamp|10356Q6,148
AlarmRateRamp|10356Q1,134
AlarmRateRamp|10356Q2,134
AlarmRateRamp|10356Q3,130
AlarmRateRamp|10356Q4,130
AlarmRateRamp|10356Q5,120
BSMON10001XA00_HW,99
