AlarmSequence,Frequency
AlarmRateRamp|10356Q6,600
AlarmRateRamp|10356Q1,582
AlarmRateRamp|10356Q2,576
AlarmRateRamp|10356Q3,564
AlarmRateRamp|10356Q4,564
AlarmRateRamp|10356Q5,555
ASMON10021XH01,282
ASMON10005XH03,240
BSMON10034XH06,213
BSMON10001XA00_HW,136
